"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","19000","0","0","0","608.3","0","843.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","19250","0","0","0","556.3","0","775.1","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","18000","0","0","0","860.35","0","1166.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","18250","0","0","0","789.9","0","1077.5","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","18500","0","0","0","724.4","0","994.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","17000","0","0","0","1196.25","0","1582.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","17250","0","0","0","1103.7","0","1469.2","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","17500","0","0","0","1017","0","1362.2","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","17750","0","0","0","935.95","0","1261.4","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","16250","0","0","0","1511.2","0","1961.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","16500","0","0","0","1399.85","0","1828.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","16750","0","0","0","1294.9","0","1702.3","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","15500","0","0","0","1885.5","0","2401.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","15750","0","0","0","1753.95","0","2248","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","16000","0","0","0","1629.15","0","2101.5","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","14750","0","0","0","2321.65","0","2901.95","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","15000","0","0","0","2169.35","0","2728.6","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","15250","0","0","0","2023.95","0","2561.2","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","14000","0","0","0","2820.85","0","3458.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","14250","0","0","0","2647.8","0","3266.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","14500","0","0","0","2480.95","0","3081.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","13250","0","0","0","3377.8","0","4066.9","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","13500","0","0","0","3185.8","0","3858.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","13750","0","0","0","3000.45","0","3655.95","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","12250","0","0","0","4201.65","0","4944","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","12500","0","0","0","3987.95","0","4718.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","12750","0","0","0","3779.2","0","4497.15","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","13000","0","0","0","3575.7","0","4279.75","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","31-Mar-2022","CE","22250","0","0","0","176.45","0","262.25","0","0","0","0","0","16981.3"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","12750","0","0","0","5471.4","0","4418.85","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","22500","0","0","0","486.1","0","7.2","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","21750","0","0","0","615.1","0","16.4","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","22000","0","0","0","568.65","0","12.5","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","22250","0","0","0","525.95","0","9.5","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","21000","0","0","0","772.25","0","35.55","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","21250","0","0","0","716.35","0","27.6","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","21500","0","0","0","664","0","21.3","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","20000","37","40","23.05","34.75","26.5","34.75","235","2353.96","3.96","4200","2450","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","20250","0","0","0","962.8","0","73.35","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","20500","44","44","10","28","28","57.95","7","71.83",".08","100","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","20750","0","0","0","831.9","0","45.55","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","19250","0","0","0","1279.45","0","177","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","19500","87","160.95","41.35","53.7","51","53.7","340","3323.92","8.92","6900","2950","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","19750","0","0","0","1111.8","0","115.4","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","18250","208.2","218","155.25","193.9","183.65","193.9","165","1521.04","15.41","2650","900","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","18500","85.6","168.55","85.6","149.95","148.95","149.95","736","6860.86","52.86","16250","-300","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","18750","118","124.8","90.55","117","116.7","117","38","358.27","2.02","1450","900","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","19000","90","102","67.55","85.35","81.5","85.35","581","5544.12","24.62","15050","3100","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","17250","489.95","594.85","425.35","520.15","514.9","520.15","758","6730.74","192.99","7300","3050","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","17500","381.65","447.3","333.5","414.55","391.85","414.55","1038","9291.23","208.73","15350","1350","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","17750","334.15","348.05","257","331.75","316.15","331.75","266","2402.96","42.21","4600","650","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","18000","236.05","279.55","198","252.35","244.95","252.35","971","8858.48","119.48","28250","-950","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","16500","900","972.15","800","941.05","820.35","941.05","116","1009.71","52.71","6500","-1650","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","16750","799","804","662.35","799.55","802.4","799.55","73","638.95","27.58","2300","-250","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","17000","615","679.95","531.7","643.9","620","643.9","1606","14150.84","499.84","18200","-2500","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","15500","0","0","0","3242","0","1863.5","0","0","0","0","0","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","15750","1442.5","1442.5","1442.5","1442.5","1442.5","1669.4","1","8.6",".72","200","-50","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","16000","1300","1344.8","1137","1297.1","1254.85","1297.1","154","1331.02","99.02","7300","-2100","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","16250","1096.8","1151.65","990","1151.65","1151.65","1151.65","9","77.85","4.73","4550","-150","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","14500","2650","2650","2650","2650","2650","2727.15","1","8.58","1.33","50","50","-"
"BAJAJFINSV","04-Jan-2022","27-Jan-2022","CE","14750","0","0","0","3791.35","0","2500.25","0","0","0","0","0","-"
